10038	IGNORE	(Content Security Policy (CSP) Header Not Set)
10049	IGNORE	(Non-Storable Content)
10063	IGNORE	(Permissions Policy Header Not Set)
10109	IGNORE	(Modern Web Application)
10112	IGNORE	(Session Management Response Identified)
10010	IGNORE	(Cookie No HttpOnly Flag)
10011	IGNORE	(Cookie Without Secure Flag)
10015	IGNORE	(Re-examine Cache-control Directives)
10050	IGNORE	(Retrieved from Cache)
10054	IGNORE	(Cookie without SameSite Attribute)
10055	IGNORE	(CSP: Failure to Define Directive with No Fallback)
10098	IGNORE	(Cross-Domain Misconfiguration)
10099	IGNORE	(Source Code Disclosure - Java)
90003	IGNORE	(Sub Resource Integrity Attribute Missing)
90004	IGNORE	(Cross-Origin-Embedder-Policy Header Missing or Invalid)
